game_id,line_items,weight,Codacabana,eyay,TakeTheMoneyAndRun,error404 ai,Bin busy,Non Deterministic,Teamers,AsianSuperNerds,Oasis,Claims Renaissance,Alpha,TBD,Nullpointer Naan,Trust Nobody,OPUSMOPUS,harissa eagles,makalu
45,18,1.0,5510.7900,9086.6150,2803.5650,17136.9600,11390.0250,2401.1825,12549.2500,6572.1400,339.6500,-10406.3000,-29174.7750,-55141.0575,-11102.9400,-18224.8400,-55141.0575,7393.2350,-55141.0575
46,31,1.0,1016.8100,-3390.1400,25358.3100,8649.2750,16309.0700,-4579.5300,-5538.4950,-15547.8450,2379.3000,-24155.7000,-77577.9150,-10446.8100,-9750.5550,-47145.8700,-24060.8150,15946.0450,-77577.9150
47,17,1.0,-7997.3750,5.8250,-3420.8650,-7049.6700,9486.8050,-6336.2550,9311.4600,-14827.7300,-5060.7050,-10104.7400,-38186.8800,10012.2300,-18840.1250,5671.0300,-17998.7950,304.9650,-38186.8800
48,27,1.0,-2693.0450,-14329.9150,4977.3800,-878.8850,677.4900,-108.5750,-464.0950,16446.7250,-12763.3700,2675.3600,-17000.7750,-26521.4250,9713.5800,-22621.5950,-5948.9100,-2733.1850,-53291.1300
49,19,1.0,-3282.1900,-14090.1150,-2541.0250,879.8950,6849.3550,-3496.4550,7506.3550,8794.0800,-11141.8100,2307.9000,209.7700,3529.5550,-15812.0550,-1642.9900,4720.9750,-14090.1150,-14090.1150
50,16,1.0,447.1050,-6946.8400,-6635.6150,2676.2650,10327.3650,-2887.0000,8415.3100,6844.8900,9159.2200,320.3250,-523.7350,-1123.6700,-15862.0100,-22828.1200,2673.4850,-17230.7850,-17230.7850
51,6,1.0,-11502.7400,-4194.5400,16123.8450,23905.5650,-2484.3250,9982.8750,-22900.8350,-12872.6600,4245.1400,-21469.0700,9906.9200,4129.8850,-23825.2650,-35344.1400,-20213.5350,-49747.9050,-49747.9050
52,2,1.0,-4551.4400,321.1500,653.1500,477.0200,-1598.3200,2350.7650,3604.1550,-3495.7200,-348.0600,-7856.2700,3013.6000,-516.9300,3643.1300,3265.5600,1829.0600,-1465.4100,-1465.4100
53,2,1.0,65773.4850,-16081.7650,70680.0600,-33873.5850,-4451.7100,72156.0900,-32303.0350,82039.3900,-81575.7850,-49940.1600,-49580.5350,-2396.3900,-84668.9100,-56445.9400,-58680.5350,-84668.9100,-84668.9100
54,11,1.0,8540.1350,16806.4150,-18438.7950,9038.5050,6941.6800,-6305.0600,-4388.6800,-48994.0500,-20729.1600,8635.5550,-10448.6300,6425.8450,-2894.6200,-11975.2400,626.4300,-54604.0050,-54604.0050
55,1,1.0,-4690.7350,-3096.6200,-2667.7350,-2458.9950,-3282.0200,-3318.4200,869.6800,-2206.8200,-6926.9200,-3272.0600,-3028.9700,1722.6650,4735.5400,12374.9700,-4245.0450,-10125.0450,-10125.0450
56,4,1.0,361.8300,147.0900,1167.0400,-715.4000,632.4000,486.2600,570.0400,1177.0800,1202.2900,69.2700,83.2300,-1302.6400,-1794.4600,-1558.4200,-194.7300,-455.9400,-455.9400
57,13,1.0,6896.0550,2005.3650,4018.1800,150.5900,-177.3950,-3791.4300,1786.1700,1380.9050,2749.8750,-795.5000,3894.4950,-267.5450,-9402.6600,-7328.4050,-4734.5400,-4734.5400,-4734.5400
58,9,1.0,2069.6600,2271.4200,136.1750,-163.6400,-665.2500,1377.9200,-939.1150,-1238.2000,-2760.2950,1103.7900,1375.3700,2775.5550,-2519.0300,-4007.3550,-2440.5300,-2440.5300,-2440.5300
59,9,1.0,9834.7400,-12653.0200,5086.9900,-10075.6500,-7370.5650,-10299.2900,-14577.7300,-30559.1750,14048.4150,-13664.2750,2621.3750,5666.0300,-4733.2000,12195.8050,-57895.7400,-57895.7400,-57895.7400
60,11,1.0,8620.3500,506.1100,-5322.6600,2075.9900,2238.0400,992.7300,-29.0100,5669.1100,3145.9900,-1624.4500,9437.5600,-4985.9900,-8048.7400,-18996.9700,-2072.3700,5095.3600,-2072.3700
61,15,1.0,16243.6950,-2079.4650,9779.0300,-10593.9950,4131.3250,13583.6850,-121.8050,-6900.8250,3419.6600,-7324.6250,-22625.9050,-4251.7150,-42845.4600,-18323.2100,-42845.4600,1334.1550,-42845.4600
62,10,1.0,3578.4850,-33836.5350,-60045.9000,101530.5450,-17275.6850,-89777.6750,59219.7250,-45407.4500,-45579.0800,-46074.9450,34030.4400,-56922.6250,-70566.9000,62875.4750,-70566.9000,53259.6750,-70566.9000
63,4,1.0,-10603.3900,5930.8100,5132.0000,765.6100,-3832.0100,2871.0000,-1888.2900,1238.2900,1823.0000,4417.1600,6161.7100,548.6500,0.0000,-12491.5800,0.0000,-72.9600,0.0000
64,3,1.0,-1788.2800,11218.9650,-41667.6150,-1917.0550,-3426.9100,23771.7450,8235.9850,1706.9200,-21668.1600,-11948.0950,-8175.0650,-3479.2850,-2327.1200,-26951.7000,-41667.6150,7673.4650,-41667.6150
